profil,vitesse_ms,angle_deg,CL,CD,pression_PSI
NACA-0012,8.9,-18,,,-0.006709175
NACA-0012,8.9,-17.5,,,-0.0067063437
NACA-0012,8.9,-17,,,-0.0067035125
NACA-0012,8.9,-16.5,,,-0.0067006812
NACA-0012,8.9,-16,,,-0.00669785
NACA-0012,8.9,-15.5,,,-0.0066950188
NACA-0012,8.9,-15,,,-0.0066921875
NACA-0012,8.9,-14.5,,,-0.0066893562
NACA-0012,8.9,-14,,,-0.006686525
NACA-0012,8.9,-13.5,,,-0.0066836937
NACA-0012,8.9,-13,,,-0.0066808625
NACA-0012,8.9,-12.5,,,-0.0066780312
NACA-0012,8.9,-12,,,-0.0066752
NACA-0012,8.9,-11.5,,,-0.0066723687
NACA-0012,8.9,-11,,,-0.0066695375
NACA-0012,8.9,-10.5,,,-0.0066667062
NACA-0012,8.9,-10,,,-0.006663875
NACA-0012,8.9,-9.5,,,-0.0066800363
NACA-0012,8.9,-9,,,-0.0066961975
NACA-0012,8.9,-8.5,,,-0.0067123587
NACA-0012,8.9,-8,,,-0.00672852
NACA-0012,8.9,-7.5,,,-0.0067446813
NACA-0012,8.9,-7,,,-0.0067608425
NACA-0012,8.9,-6.5,,,-0.0067770037
NACA-0012,8.9,-6,,,-0.006793165
NACA-0012,8.9,-5.5,,,-0.0068093263
NACA-0012,8.9,-5,,,-0.0068254875
NACA-0012,8.9,-4.5,,,-0.0069714638
NACA-0012,8.9,-4,,,-0.00711744
NACA-0012,8.9,-3.5,,,-0.0072634162
NACA-0012,8.9,-3,,,-0.0074093925
NACA-0012,8.9,-2.5,,,-0.0075553687
NACA-0012,8.9,-2,,,-0.007701345
NACA-0012,8.9,-1.5,,,-0.0078473212
NACA-0012,8.9,-1,,,-0.0079932975
NACA-0012,8.9,-0.5,,,-0.0081392737
NACA-0012,8.9,0,0.047500965,-0.0021223835,-0.00828525
NACA-0012,8.9,0.5,0.050836139,-0.0021527033,-0.0084732412
NACA-0012,8.9,1,0.054171313,-0.0021830231,-0.0086612325
NACA-0012,8.9,1.5,0.057506487,-0.0022133428,-0.0088492237
